iter	Passed	Remaining
0	19	19423
1	52	25956
2	68	22694
3	96	24026
4	142	28319
5	155	25738
6	170	24222
7	211	26224
8	229	25317
9	242	23995
10	256	23100
11	268	22141
12	281	21384
13	288	20319
14	301	19767
15	310	19077
16	321	18577
17	333	18175
18	345	17858
19	355	17432
20	367	17129
21	382	16985
22	399	16972
23	417	16985
24	434	16932
25	448	16818
26	461	16648
27	477	16569
28	493	16521
29	504	16318
30	512	16022
31	521	15769
32	530	15550
33	540	15361
34	544	15005
35	555	14875
36	567	14765
37	576	14605
38	588	14507
39	600	14413
40	610	14269
41	621	14171
42	630	14039
43	639	13899
44	648	13761
45	655	13600
46	663	13451
47	671	13326
48	679	13187
49	692	13160
50	701	13057
51	709	12932
52	716	12805
53	723	12681
54	732	12577
55	740	12476
56	747	12366
57	754	12254
58	761	12142
59	768	12038
60	774	11928
61	781	11816
62	787	11716
63	794	11619
64	800	11519
65	806	11419
66	813	11322
67	819	11230
68	826	11149
69	833	11075
70	839	10987
71	846	10912
72	852	10823
73	858	10739
74	864	10667
75	870	10588
76	877	10516
77	884	10449
78	898	10471
79	905	10409
80	911	10346
81	918	10283
82	926	10239
83	932	10168
84	938	10107
85	945	10046
86	953	10010
87	961	9961
88	967	9908
89	974	9853
90	980	9790
91	985	9730
92	991	9670
93	997	9613
94	1003	9559
95	1008	9500
96	1014	9443
97	1019	9387
98	1025	9333
99	1031	9280
100	1037	9231
101	1042	9179
102	1049	9143
103	1055	9093
104	1061	9046
105	1066	8998
106	1072	8947
107	1077	8902
108	1083	8855
109	1088	8808
110	1093	8760
111	1099	8715
112	1104	8670
113	1110	8627
114	1115	8585
115	1121	8543
116	1126	8500
117	1131	8459
118	1136	8417
119	1142	8375
120	1147	8337
121	1152	8294
122	1157	8255
123	1163	8221
124	1168	8182
125	1174	8145
126	1180	8112
127	1185	8075
128	1190	8039
129	1196	8006
130	1201	7969
131	1207	7936
132	1212	7905
133	1217	7870
134	1223	7838
135	1228	7806
136	1233	7773
137	1240	7746
138	1245	7716
139	1250	7684
140	1257	7658
141	1263	7633
142	1270	7612
143	1276	7588
144	1283	7568
145	1290	7546
146	1296	7521
147	1302	7496
148	1308	7473
149	1314	7448
150	1320	7424
151	1326	7399
152	1332	7374
153	1337	7346
154	1343	7321
155	1348	7297
156	1354	7271
157	1360	7247
158	1374	7267
159	1379	7243
160	1385	7220
161	1391	7197
162	1396	7172
163	1402	7148
164	1408	7125
165	1413	7101
166	1419	7079
167	1424	7056
168	1430	7032
169	1435	7009
170	1441	6989
171	1447	6966
172	1452	6943
173	1457	6921
174	1463	6898
175	1468	6876
176	1474	6854
177	1482	6845
178	1488	6825
179	1493	6804
180	1498	6782
181	1504	6762
182	1509	6741
183	1515	6719
184	1520	6698
185	1525	6675
186	1530	6654
187	1534	6626
188	1539	6606
189	1544	6586
190	1550	6567
191	1555	6545
192	1560	6526
193	1566	6508
194	1571	6488
195	1577	6470
196	1582	6452
197	1588	6433
198	1593	6414
199	1598	6395
200	1603	6375
201	1609	6358
202	1614	6340
203	1619	6320
204	1624	6300
205	1629	6281
206	1634	6262
207	1639	6244
208	1644	6224
209	1650	6207
210	1655	6190
211	1661	6174
212	1665	6152
213	1670	6135
214	1675	6118
215	1681	6103
216	1686	6086
217	1692	6069
218	1697	6054
219	1703	6037
220	1708	6021
221	1713	6006
222	1718	5988
223	1723	5971
224	1728	5955
225	1733	5937
226	1739	5921
227	1744	5906
228	1749	5889
229	1754	5873
230	1759	5857
231	1764	5841
232	1769	5825
233	1774	5809
234	1779	5793
235	1785	5778
236	1790	5763
237	1795	5749
238	1801	5734
239	1806	5719
240	1811	5704
241	1816	5689
242	1821	5675
243	1827	5660
244	1832	5646
245	1837	5633
246	1843	5620
247	1848	5606
248	1854	5592
249	1859	5579
250	1865	5565
251	1870	5552
252	1876	5539
253	1881	5526
254	1887	5513
255	1892	5500
256	1897	5487
257	1903	5473
258	1908	5460
259	1914	5448
260	1919	5435
261	1924	5421
262	1930	5409
263	1935	5397
264	1941	5384
265	1946	5372
266	1952	5360
267	1957	5346
268	1963	5335
269	1968	5323
270	1974	5310
271	1979	5298
272	1985	5286
273	1990	5273
274	1996	5262
275	2001	5251
276	2007	5239
277	2012	5227
278	2019	5217
279	2024	5205
280	2029	5194
281	2035	5183
282	2041	5173
283	2047	5162
284	2053	5151
285	2059	5140
286	2065	5130
287	2070	5119
288	2076	5109
289	2082	5098
290	2088	5087
291	2093	5076
292	2099	5065
293	2104	5053
294	2110	5043
295	2115	5032
296	2121	5022
297	2127	5012
298	2133	5001
299	2138	4990
300	2144	4980
301	2150	4969
302	2155	4959
303	2160	4945
304	2166	4935
305	2171	4925
306	2178	4916
307	2184	4907
308	2189	4897
309	2195	4887
310	2201	4877
311	2208	4869
312	2213	4859
313	2219	4849
314	2226	4840
315	2231	4830
316	2237	4820
317	2243	4811
318	2249	4802
319	2255	4792
320	2260	4782
321	2267	4773
322	2273	4764
323	2278	4753
324	2284	4744
325	2290	4734
326	2295	4724
327	2301	4715
328	2308	4707
329	2315	4702
330	2323	4696
331	2330	4689
332	2337	4682
333	2344	4675
334	2351	4668
335	2358	4660
336	2367	4656
337	2373	4649
338	2381	4642
339	2387	4634
340	2393	4625
341	2400	4619
342	2407	4611
343	2415	4606
344	2421	4597
345	2427	4588
346	2434	4580
347	2440	4571
348	2446	4563
349	2452	4555
350	2459	4547
351	2465	4539
352	2471	4530
353	2477	4521
354	2483	4513
355	2489	4503
356	2495	4494
357	2501	4485
358	2507	4477
359	2513	4469
360	2519	4460
361	2525	4451
362	2531	4442
363	2537	4433
