id,date_of_birth,number_dependants,credit_utilization,debt_to_income_ratio,monthly_income,number_open_credit_lines,number_open_loans,number_90_days_past_due,number_charged_off,score1,score2,target
1,1993-03-14,1,0.0364946725386632,0.2088970894792512,2400,6,2,0,0,570,817,0
2,1966-09-27,1,0.0234225608149509,0.2604383833054151,2200,6,1,0,0,741,756,0
3,1931-01-11,2,0.0272052615274016,0.335922365351789,3000,6,1,0,1,805,779,0
5,1943-11-17,0,0.0684240223391182,0.3149655851423267,2500,2,3,0,0,833,629,0
6,1994-02-03,0,0.0010033306090358,0.251699935338501,2500,6,6,0,1,830,587,0
8,1940-05-09,0,0.147775921924934,0.517306938831711,2200,4,4,0,0,793,744,0
9,1994-09-05,0,0.0821752746914707,0.4366299090417272,2600,5,1,0,0,688,544,0
10,1996-02-05,0,0.058017601192235,0.3396787090297684,2400,3,3,0,0,621,662,0
11,1950-10-10,0,0.0376164634211808,0.3913009059269673,2100,10,3,0,0,657,563,0
12,1948-10-05,1,0.0546658472786447,0.3155591954214302,2100,3,1,0,0,817,734,0
13,1997-10-07,0,0.1175553575862257,0.3302805856028637,2100,4,0,0,0,613,787,0
15,1947-02-15,0,0.0287871455179101,0.5396490375616613,2000,5,1,0,0,614,822,0
16,1970-08-21,0,0.0327475628528248,0.1863665172010579,2500,5,5,0,0,762,688,0
17,1947-08-04,0,0.0079255106877095,0.2550387655456113,2700,5,3,0,0,741,779,0
18,1940-07-13,1,0.0865499911654423,0.371398397531862,2000,6,1,0,0,827,549,0
20,1967-07-10,0,0.1314113387370586,0.2379174471145881,2300,3,2,0,0,559,587,0
22,1992-08-07,3,0.0399305240289229,0.2464504607210842,2100,10,4,0,0,665,575,0
23,1968-01-26,0,0.0203825753641382,0.1727559135011878,2000,6,1,0,0,555,500,0
25,1985-12-11,0,0.0773499921907141,0.2496756701320549,2300,5,1,1,0,835,505,0
26,1955-09-30,0,0.0203186605085493,0.5023163234403228,2000,8,1,0,0,767,635,0
27,1991-06-02,0,0.0362455722733746,0.359930793797141,2100,3,1,0,0,702,709,0
28,1928-07-29,1,0.0990233806245906,0.2977475075788034,2200,2,4,0,0,828,777,0
29,1970-05-22,1,0.0192637887601726,0.2005644377609036,2000,9,3,0,0,505,724,1
30,1966-06-03,1,0.0098965286861308,0.2919108376869633,2400,1,1,0,0,549,542,0
31,1942-09-20,0,0.0242512745925743,0.0929537557256828,2200,5,2,0,0,512,598,0
32,1992-05-07,1,0.0223423410085116,0.174785392475474,2000,7,1,0,0,571,763,1
33,1968-07-14,0,0.0043769927947644,0.2599070227425174,2000,7,2,0,0,741,789,0
35,1959-05-22,0,0.0142441371474034,0.3343444800615681,2100,6,2,0,0,686,821,0
36,1984-09-03,0,0.0189795676996308,0.4179225597943422,2000,7,2,0,0,730,552,1
39,1976-07-05,0,0.0126774639204102,0.2862751351361979,2300,2,5,0,0,505,646,0
40,1987-06-19,3,0.0042830597595005,0.4048496752446771,2100,4,1,0,0,558,717,1
41,1959-07-29,0,0.0309461864546499,0.445100761567212,2200,4,5,0,0,645,684,0
42,1982-02-01,1,0.0584426964868401,0.4699417835127383,2100,5,1,0,0,569,644,0
43,1983-10-07,1,0.0163237721772217,0.3254008976488484,2000,7,1,0,0,566,681,0
46,1956-10-06,0,0.0036799840566294,0.3891495789575646,2000,9,1,0,0,821,542,0
47,1928-05-30,0,0.0029461786694077,0.3413578063079026,2100,8,1,0,0,656,594,0
48,1987-01-22,1,0.0506636918832974,0.2433805573823485,2100,1,3,0,0,618,814,0
50,1950-03-20,1,0.0066930230904674,0.3724645666299521,2200,4,2,0,0,735,661,0
51,1964-12-09,1,0.0307106968463435,0.1060821961869628,2200,7,2,0,0,778,740,0
54,1938-03-19,1,0.0437990748450334,0.3162917821939836,2100,6,2,1,0,698,585,0
55,1949-07-11,1,0.0895378381055234,0.1171095713546897,2000,2,1,0,0,658,722,0
56,1964-05-27,1,0.0247961682525966,0.4000810066480438,2100,7,0,0,0,821,688,0
58,1930-02-02,0,0.145374040966759,0.6173312553121063,2200,7,3,0,0,788,555,0
59,1953-07-03,1,0.0526388435742674,0.4333737796506671,2200,10,2,0,0,688,659,0
61,1988-04-12,0,0.0115789703996101,0.4328818019654847,2100,5,0,0,0,804,510,1
63,1954-07-04,-1,0.1501754976604467,0.1456367804703128,3200,6,2,0,0,639,792,0
64,1947-04-01,1,0.1490049515465274,0.3186418397909838,2700,4,3,0,0,619,611,0
65,1978-03-25,0,0.0421667520579047,0.4232899814612913,2100,3,1,0,0,813,523,0
66,1942-02-12,1,0.026546557750822,0.4423144379529564,2800,6,0,0,0,508,626,0
67,1971-01-03,0,0.0073016105593129,0.118182681559557,2000,6,5,0,0,731,815,0
68,1940-03-05,0,0.0267642294206765,0.2503390732041771,2400,4,3,0,0,505,656,0
69,1951-11-29,0,0.0146235278263834,0.2361516179400141,2200,3,2,1,0,628,723,0
70,1964-03-18,0,0.0036438000950045,0.3350230345024418,2300,4,1,0,0,535,774,0
71,1953-03-29,1,0.0555274198862518,0.1841300032815856,2400,7,3,0,0,811,580,0
72,1990-06-15,0,0.0238735523970961,0.342353428347266,2200,2,0,0,0,791,556,0
73,1962-02-16,0,0.0394138319943142,0.2857973214927143,3000,7,2,0,1,538,813,0
74,1964-11-01,0,0.0134320544261107,0.1699475959389141,2200,4,4,0,1,816,760,0
76,1930-01-08,0,0.0059130692414511,0.2781700691477071,2000,3,3,0,1,827,679,1
77,1995-05-09,0,0.054396675465106,0.3634827708196418,2000,4,1,0,0,554,772,0
78,1938-01-31,1,0.0770163584716229,0.191739782404234,2000,7,2,1,0,619,798,0
79,1980-07-10,0,0.0209645788797239,0.1442260751403487,2400,9,2,0,0,701,611,0
80,1938-06-21,2,0.0283260590593148,0.3916779427854591,2400,6,2,0,0,616,825,0
81,1938-04-24,1,0.1025324441045771,0.2652857070068971,2600,6,2,0,0,694,761,0
82,1958-06-13,1,0.0497222520926766,0.2786696139522999,2000,8,1,0,0,712,614,0
